action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,544,83,1.244325959,0.961538462,1.263157895,2.480727620
MELEE_ATTACK,545,8,1.247905530,1.232152689,1.468864308,1.911317731
MELEE_ATTACK,546,6,1.161004854,0.982305949,1.134336085,1.607402407
MELEE_ATTACK,567,38,0.938386249,0.331825742,0.835851176,1.640728704
MELEE_ATTACK,568,29,0.993804863,0.517356035,0.888461538,1.495861653
MELEE_ATTACK,571,21,1.058639668,0.206355140,0.963136033,1.502657138
MELEE_ATTACK,572,29,0.658918592,0.092632292,0.443697479,1.195239364
MELEE_ATTACK,578,2,1.260041399,2.664478964,2.664500084,2.664521205
MELEE_ATTACK,579,16,1.238640505,0.541454865,1.331372931,2.523490821
MELEE_ATTACK,580,7,1.179273344,0.813898907,1.208750463,2.951770682
MELEE_ATTACK,581,3,1.224109873,1.439928962,1.662946429,2.290801076
MELEE_ATTACK,587,6,1.064829997,0.735939425,0.779845901,1.378839035
MELEE_ATTACK,588,247,1.284811607,0.674857926,1.294665235,2.394847476
MELEE_ATTACK,589,49,1.313307473,0.871804335,1.377147874,3.318823597
MELEE_ATTACK,590,80,1.316264761,0.922139254,1.355856220,2.463822014
MELEE_ATTACK,599,3,1.124213405,0.863574786,0.865822785,0.923988432
MELEE_ATTACK,600,6,1.085226888,0.759965049,0.846674779,1.105222885
MELEE_ATTACK,601,18,1.084604266,0.737228187,0.997837308,1.158925256
MELEE_ATTACK,604,2,1.139377345,0.807585930,0.880493508,0.959983066
MELEE_ATTACK,606,2,1.121331813,0.720812040,0.738683434,0.756997922
MELEE_ATTACK,609,2,1.126601216,0.665431621,0.777777103,0.909089985
MELEE_ATTACK,611,3,1.148902608,0.824610053,1.022727273,2.633273982
MELEE_ATTACK,612,94,1.704641430,0.730374151,1.847047230,3.981679534
MELEE_ATTACK,624,15,1.168206546,1.106129896,1.166980287,1.623903661
MELEE_ATTACK,626,16,1.009430675,0.593050785,0.840127051,0.974356815
MELEE_ATTACK,627,4,1.100202087,0.743781529,0.811944187,0.904387707
MELEE_ATTACK,628,2,1.197836522,1.248770812,1.526707500,1.866504061
MELEE_ATTACK,630,2,1.200278358,1.555948689,1.561293349,1.566656369
MELEE_ATTACK,631,8,1.166283289,0.773439902,1.159204023,1.351935250
MELEE_ATTACK,635,135,0.622175214,0.344321419,0.566666667,0.944446769
MELEE_ATTACK,636,84,0.680143705,0.345683286,0.597841625,0.939268423
MELEE_ATTACK,637,7,0.981418917,0.497221239,0.595238095,0.708303868
MELEE_ATTACK,638,27,0.808628045,0.517498516,0.615384615,1.026955730
MELEE_ATTACK,639,99,0.681198116,0.316067735,0.610775862,0.966959822
MELEE_ATTACK,640,130,0.703706377,0.503141606,0.650838130,1.122072072
MELEE_ATTACK,641,123,0.635477020,0.270147886,0.575505051,0.895757994
MELEE_ATTACK,644,46,1.050206494,0.623354505,1.002350180,1.519694958
MELEE_ATTACK,645,24,1.034642824,0.161508321,0.934467905,2.038908410
MELEE_ATTACK,646,2,1.208761739,1.181104856,1.687060027,2.409753478
MELEE_ATTACK,647,6,1.202200860,0.762017142,1.319354214,1.740907342
MELEE_ATTACK,649,111,1.729848881,1.297489763,1.856372738,2.978947368
MELEE_ATTACK,650,105,1.733903756,1.236797692,1.869078381,3.790757304
MELEE_ATTACK,651,117,1.245069832,0.696406686,1.258536585,2.322635135
MELEE_ATTACK,652,32,1.130802586,0.611838737,1.107490380,1.622390479
MELEE_ATTACK,660,3,1.137239833,0.785239668,0.945774648,0.996257212
MELEE_ATTACK,661,10,1.424753532,1.684410326,2.115903138,2.466537071
MELEE_ATTACK,662,27,0.953178399,0.523158953,0.819369369,1.217511429
MELEE_ATTACK,672,16,0.924336685,0.451133261,0.689113525,1.110391924
MELEE_ATTACK,677,16,1.141534661,0.740994418,1.107958080,1.536752161
MELEE_ATTACK,678,8,1.145654833,0.842344842,1.089015259,1.219789822
MELEE_ATTACK,679,12,1.071907220,0.655074823,0.927505129,1.476613677
MELEE_ATTACK,690,17,1.050501822,0.813949997,0.926258503,1.327167459
MELEE_ATTACK,691,2,1.136673816,0.818013952,0.857782524,0.899484486
MELEE_ATTACK,703,3,1.082307540,0.629877918,0.647058824,0.927230934
MELEE_ATTACK,704,8,0.963148345,0.481446245,0.593296565,0.971161495
MELEE_ATTACK,717,20,1.000473497,0.733557029,0.856149200,0.967739779
MELEE_ATTACK,721,40,0.892859398,0.371411126,0.780267918,1.314381838
MELEE_ATTACK,722,9,1.067709608,0.623715653,0.872727273,1.106849920
MELEE_ATTACK,723,23,1.027954486,0.500748297,0.919127517,1.266948998
MELEE_ATTACK,724,25,1.056191474,0.682200329,0.973749854,1.217331462
MELEE_ATTACK,725,2,1.134441472,0.827866527,0.839432581,0.851160224
MELEE_ATTACK,727,13,1.119850271,0.882081862,1.048064516,1.846366245
MELEE_ATTACK,728,3,1.121123464,0.817757953,0.847744361,0.935588765
MELEE_ATTACK,729,3,1.107656040,0.656436258,0.772727273,1.178860040
MELEE_ATTACK,730,3,1.124210787,0.791745900,0.865807327,1.094909727
MELEE_ATTACK,731,14,1.051438953,0.641216256,0.903563824,1.029007667
MELEE_ATTACK,745,75,1.404878576,1.162342561,1.475409836,2.797893651
