scope,spell_id,spell_name,actor_creature_id,target_creature_id,samples,median_damage
SAT,2189341129,lighting,411,320,1,92.000000
SAT,2189341129,lighting,411,513,1,375.000000
SAT,2189341129,lighting,411,535,1,296.000000
SAT,2189341129,lighting,412,118,2,297.000000
SAT,2189341129,lighting,412,257,2,292.000000
SAT,2189341129,lighting,431,117,1,543.000000
SAT,2189341129,lighting,431,118,4,503.000000
SAT,2189341129,lighting,431,165,1,526.000000
SAT,2189341129,lighting,431,318,2,455.000000
SAT,2189341129,lighting,431,433,1,564.000000
SAT,2189341129,lighting,438,28,1,369.000000
SAT,2189341129,lighting,438,100,1,369.000000
SAT,2189341129,lighting,438,118,1,369.000000
SAT,2189341129,lighting,438,234,1,366.000000
SAT,2189341129,lighting,438,238,2,369.000000
SAT,2189341129,lighting,438,257,2,302.000000
SAT,2189341129,lighting,438,270,1,369.000000
SAT,2189341129,lighting,438,311,1,92.000000
SAT,2189341129,lighting,438,320,2,92.000000
SAT,2189341129,lighting,438,335,1,383.000000
